frame,timestamp_seconds,was_ocr_sampled,primary_min_temp,primary_max_temp,primary_min_text,primary_max_text,accepted_sample_min_temp,accepted_sample_max_temp,accepted_min_text,accepted_max_text,accepted_min_method,accepted_max_method,clean_min_temp_used,clean_max_temp_used,status,retry_attempted
168,6.910188679245283,1,,45.7,15-4-,457,15.4,45.7,15.4,457,green_channel_otsu/PSM7,green_difference/PSM7,15.4,45.7,ACCEPT_RETRY,1
169,6.95132075471698,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
170,6.992452830188679,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
171,7.033584905660377,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
172,7.074716981132075,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
173,7.115849056603773,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
174,7.1569811320754715,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
175,7.19811320754717,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
176,7.239245283018867,1,,45.7,14,457,15.4,45.7,15.4,457,hsv_green/PSM7,green_difference/PSM7,15.4,45.7,ACCEPT_RETRY,1
177,7.280377358490566,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
178,7.321509433962264,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
179,7.362641509433962,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
180,7.40377358490566,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
181,7.4449056603773585,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
182,7.486037735849056,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
183,7.527169811320754,0,,,,,,,,,,,15.4,45.7,UNSAMPLED,0
184,7.568301886792453,1,14.4,46.8,14.4,46.8,14.4,46.8,14.4,46.8,green_difference/PSM7,green_difference/PSM7,14.4,46.8,ACCEPT_PRIMARY,0
185,7.60943396226415,0,,,,,,,,,,,14.4,46.8,UNSAMPLED,0
186,7.650566037735849,0,,,,,,,,,,,14.4,46.8,UNSAMPLED,0
187,7.691698113207547,0,,,,,,,,,,,14.4,46.8,UNSAMPLED,0
188,7.7328301886792445,0,,,,,,,,,,,14.4,46.8,UNSAMPLED,0
189,7.773962264150943,0,,,,,,,,,,,14.4,46.8,UNSAMPLED,0
190,7.815094339622641,0,,,,,,,,,,,14.4,46.8,UNSAMPLED,0
191,7.856226415094339,0,,,,,,,,,,,14.4,46.8,UNSAMPLED,0
192,7.897358490566037,1,15.3,46.8,15.3,46.8,15.3,46.8,15.3,46.8,green_difference/PSM7,green_difference/PSM7,15.3,46.8,ACCEPT_PRIMARY,0
193,7.938490566037736,0,,,,,,,,,,,15.3,46.8,UNSAMPLED,0
194,7.979622641509433,0,,,,,,,,,,,15.3,46.8,UNSAMPLED,0
195,8.020754716981132,0,,,,,,,,,,,15.3,46.8,UNSAMPLED,0
196,8.06188679245283,0,,,,,,,,,,,15.3,46.8,UNSAMPLED,0
197,8.103018867924527,0,,,,,,,,,,,15.3,46.8,UNSAMPLED,0
198,8.144150943396227,0,,,,,,,,,,,15.3,46.8,UNSAMPLED,0
199,8.185283018867924,0,,,,,,,,,,,15.3,46.8,UNSAMPLED,0
200,8.226415094339622,1,15.3,46.7,15.3,46.7,15.3,46.7,15.3,46.7,green_difference/PSM7,green_difference/PSM7,15.3,46.7,ACCEPT_PRIMARY,0
201,8.267547169811321,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
202,8.308679245283018,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
203,8.349811320754716,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
204,8.390943396226415,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
205,8.432075471698113,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
206,8.47320754716981,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
207,8.51433962264151,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
208,8.555471698113207,1,15.3,46.7,15.3,46.7,15.3,46.7,15.3,46.7,green_difference/PSM7,green_difference/PSM7,15.3,46.7,ACCEPT_PRIMARY,0
209,8.596603773584905,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
210,8.637735849056604,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
211,8.678867924528301,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
212,8.719999999999999,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
213,8.761132075471698,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
214,8.802264150943396,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
215,8.843396226415093,0,,,,,,,,,,,15.3,46.7,UNSAMPLED,0
216,8.884528301886792,1,15.4,46.9,15.4,46.9,15.4,46.9,15.4,46.9,green_difference/PSM7,green_difference/PSM7,15.4,46.9,ACCEPT_PRIMARY,0
217,8.92566037735849,0,,,,,,,,,,,15.4,46.9,UNSAMPLED,0
218,8.966792452830187,0,,,,,,,,,,,15.4,46.9,UNSAMPLED,0
219,9.007924528301887,0,,,,,,,,,,,15.4,46.9,UNSAMPLED,0
220,9.049056603773584,0,,,,,,,,,,,15.4,46.9,UNSAMPLED,0
221,9.090188679245282,0,,,,,,,,,,,15.4,46.9,UNSAMPLED,0
222,9.131320754716981,0,,,,,,,,,,,15.4,46.9,UNSAMPLED,0
223,9.172452830188679,0,,,,,,,,,,,15.4,46.9,UNSAMPLED,0
224,9.213584905660376,1,15.3,46.5,15.3,465,15.3,46.5,15.3,465,green_difference/PSM7,green_difference/PSM7,15.3,46.5,ACCEPT_PRIMARY,0
225,9.254716981132075,0,,,,,,,,,,,15.3,46.5,UNSAMPLED,0
226,9.295849056603773,0,,,,,,,,,,,15.3,46.5,UNSAMPLED,0
227,9.336981132075472,0,,,,,,,,,,,15.3,46.5,UNSAMPLED,0
228,9.37811320754717,0,,,,,,,,,,,15.3,46.5,UNSAMPLED,0
229,9.419245283018867,0,,,,,,,,,,,15.3,46.5,UNSAMPLED,0
230,9.460377358490566,0,,,,,,,,,,,15.3,46.5,UNSAMPLED,0
