frame,timestamp_seconds,state,view_id,view_name,motion_translation_pixels,motion_rotation_deg,motion_scale,motion_inliers,motion_inlier_ratio,edge_change_ratio,moving_evidence,stable_evidence,event
49,2.0154656136887135,STABLE,1,VIEW_001,0.0050417886667990484,-0.00027798943462029274,1.0000040663362637,218,1.0,0.004540398758238292,0,1,
50,2.056597564988483,STABLE,1,VIEW_001,0.006128143232681708,-0.0016849823475586607,1.0000090468699476,216,1.0,0.012102164689080236,0,1,
51,2.0977295162882528,STABLE,1,VIEW_001,0.002035260288134034,0.0002805521874661023,1.0000001997796433,221,1.0,0.005494756325817469,0,1,
52,2.1388614675880224,STABLE,1,VIEW_001,0.004128044185885723,-0.0002988676437102225,0.9999986125169287,222,0.9910714285714286,0.0062208204511028575,0,1,
53,2.179993418887792,STABLE,1,VIEW_001,0.00668872523193405,-0.0016374581937403838,1.0000045605843013,220,1.0,0.0025438112350971253,0,1,
54,2.2211253701875617,STABLE,1,VIEW_001,0.0018537028313478272,-0.000197054085170209,1.0000061440356434,225,1.0,0.0016184184317110419,0,1,
55,2.2622573214873314,STABLE,1,VIEW_001,0.0019205696516528864,-0.0002464713761813066,0.999991918306277,223,0.9911111111111112,0.000568514268878201,0,1,
56,2.303389272787101,STABLE,1,VIEW_001,0.010830707139171263,-0.003254986112349546,0.999992701770314,223,1.0,0.0013196389666977903,0,1,
57,2.3445212240868707,STABLE,1,VIEW_001,0.007257349449397906,0.00031777988195902114,0.9999926357999331,225,1.0,0.001112051652309582,0,1,
58,2.3856531753866403,STABLE,1,VIEW_001,0.034766911662553475,-0.0012951313689400679,1.000020972437111,219,0.9864864864864865,0.002145379549594785,0,1,
59,2.42678512668641,STABLE,1,VIEW_001,0.007963911610205912,0.0005350823287861897,0.9999856367132449,219,0.9776785714285714,0.00395042056210501,0,1,
60,2.4679170779861797,STABLE,1,VIEW_001,0.016785565933197084,-0.00171113800215421,0.9999855698212741,216,0.96,0.010935677127661783,0,1,
61,2.5090490292859493,STABLE,1,VIEW_001,0.014779129988840938,-0.0020368097314244667,1.0000311316765362,221,0.9692982456140351,0.005426958040652396,0,1,
62,2.550180980585719,STABLE,1,VIEW_001,0.008158902353200508,-0.00045137206881360847,0.9999846473743492,221,1.0,0.0026844579428007154,0,1,
63,2.5913129318854886,STABLE,1,VIEW_001,0.016731321256733662,0.001545858808396181,0.9999945648436854,223,1.0,0.0015932353880814376,0,1,
64,2.6324448831852583,STABLE,1,VIEW_001,0.002934344214548138,0.0015981740151673979,1.0000092394875744,221,1.0,0.002912681783291496,0,1,
65,2.673576834485028,STABLE,1,VIEW_001,0.009775325641045893,0.0008555647677524902,1.000037434984889,217,1.0,0.0030703483185693836,0,1,
66,2.7147087857847976,STABLE,1,VIEW_001,0.016281565078856308,-0.0007658425886476718,1.0000490056699807,219,1.0,0.0032737638325857753,0,1,
67,2.7558407370845672,STABLE,1,VIEW_001,0.007334061239537573,-0.0009539050213276862,0.9999925973966489,216,1.0,0.0029956144536322864,0,1,
68,2.796972688384337,STABLE,1,VIEW_001,0.008041816249902458,-0.0020752982500134684,0.999968251942737,224,1.0,0.0030993407158771717,0,1,
69,2.8381046396841065,STABLE,1,VIEW_001,0.006616546148088597,-0.0019065822689334757,1.0000091738769572,222,1.0,0.0033524745245128956,0,1,
70,2.879236590983876,STABLE,1,VIEW_001,0.010100549761407762,-0.000769132055815621,1.0000174019361134,224,1.0,0.0022611668450706565,0,1,
71,2.920368542283646,STABLE,1,VIEW_001,0.008135976115814852,-0.0012643623226970572,1.0000121633038896,222,1.0,0.0025930166948786885,0,1,
72,2.9615004935834155,STABLE,1,VIEW_001,0.006449091521132466,0.0008510237053320033,0.9999974471158082,220,1.0,0.006108694930447196,0,1,
73,3.002632444883185,STABLE,1,VIEW_001,0.005073585067556603,-0.0007090945278299175,0.9999916449645784,222,0.9955156950672646,0.0060909577491670575,0,1,
74,3.043764396182955,STABLE,1,VIEW_001,0.010148218623304507,0.0007581618735500687,0.9999948415050158,221,1.0,0.003974922306450743,0,1,
75,3.0848963474827245,STABLE,1,VIEW_001,0.006528623771282819,-0.0019502613428105352,0.9999992717952338,221,1.0,0.0038836723939769885,0,1,
76,3.126028298782494,STABLE,1,VIEW_001,0.006976421353113267,-0.002337968641365859,0.9999990999539007,219,0.9954545454545455,0.0037096205315462977,0,1,
77,3.1671602500822638,STABLE,1,VIEW_001,0.009502491481697123,-0.0003073434384047939,0.9999740313589465,211,0.9634703196347032,0.0037096974978214864,0,1,
78,3.2082922013820334,STABLE,1,VIEW_001,0.007192419288556593,-6.430598399897857e-05,0.9999912218969382,215,0.9728506787330317,0.003439919666049777,0,1,
79,3.249424152681803,STABLE,1,VIEW_001,0.007156555129358876,0.00166731479929118,0.9999904368972835,212,0.9636363636363636,0.0024979667712327173,0,1,
80,3.2905561039815727,STABLE,1,VIEW_001,0.021814634587810276,0.0025586170041671866,0.9999585707752384,215,0.9728506787330317,0.0033403182638643957,0,1,
81,3.3316880552813424,STABLE,1,VIEW_001,0.01353268227853691,0.0017268354994362603,0.9999594108095483,208,0.9629629629629629,0.004780221832169399,0,1,
82,3.372820006581112,STABLE,1,VIEW_001,0.01189851612633543,0.002497380538213926,1.0000006103849304,207,0.9495412844036697,0.004091574924372259,0,1,
83,3.4139519578808817,STABLE,1,VIEW_001,0.0021160711994511624,0.00043820620992701643,0.9999800910162709,210,0.9417040358744395,0.0039962485890711105,0,1,
84,3.4550839091806513,STABLE,1,VIEW_001,0.004076416109540973,0.0008093814204595038,1.0000100591418464,215,0.9429824561403509,0.008105180592387854,0,1,
85,3.496215860480421,STABLE,1,VIEW_001,0.0038974228779610175,0.000799066058188498,1.000005752296513,206,0.9321266968325792,0.0058916028063944635,0,1,
86,3.5373478117801906,STABLE,1,VIEW_001,0.004749599515446355,0.0001265958725534131,1.0000113345369963,208,0.9244444444444444,0.004646917268276492,0,1,
87,3.5784797630799603,STABLE,1,VIEW_001,0.008195669138065229,-0.0016040110615442187,0.9999890407756716,211,0.9336283185840708,0.004584757858399443,0,1,
88,3.61961171437973,STABLE,1,VIEW_001,0.003410195410128314,-0.0011187968267669449,1.0000010020896997,209,0.9288888888888889,0.004999834030405629,0,1,
89,3.6607436656794996,STABLE,1,VIEW_001,0.0023418739194414912,-0.0005827230817536669,0.999991134274601,206,0.9196428571428571,0.005132311573217383,0,1,
90,3.7018756169792693,STABLE,1,VIEW_001,0.022123015664351934,-0.005958350411647154,0.9999598826322091,211,0.9377777777777778,0.004397865790412653,0,1,
91,3.743007568279039,STABLE,1,VIEW_001,0.00538419649936384,-0.003273433579727657,0.9999725703963434,217,0.9644444444444444,0.005601032249499018,0,1,
92,3.7841395195788086,STABLE,1,VIEW_001,0.017113793525017712,0.0006751018586075642,0.9999670837369593,213,0.9638009049773756,0.004016214220219647,0,1,
93,3.825271470878578,STABLE,1,VIEW_001,0.02060514775710716,-0.005825816821341654,0.9999888103149174,221,1.0,0.004812838662030852,0,1,
94,3.866403422178348,STABLE,1,VIEW_001,0.027012957866385676,-0.007570021445373092,0.9999922013849017,220,0.990990990990991,0.006505576208178439,0,1,
95,3.9075353734781175,STABLE,1,VIEW_001,0.01827994287370886,-0.00373816276181781,0.9999575109217927,209,0.9631336405529954,0.005082439238920282,0,1,
96,3.948667324777887,STABLE,1,VIEW_001,0.020335043228403668,-0.0040963483065825255,1.0000072675922436,221,0.973568281938326,0.009984023901902608,0,1,
97,3.989799276077657,STABLE,1,VIEW_001,0.033988539677311295,0.002688663125387389,0.9999687524363355,222,0.961038961038961,0.008318155983056684,0,1,
98,4.030931227377427,STABLE,1,VIEW_001,45.988306171975466,0.008607279055949211,1.0000877397923003,210,0.967741935483871,0.14414102285819239,1,0,
99,4.072063178677197,STABLE,1,VIEW_001,44.93852901893664,0.012723318299809848,0.9998981266198363,209,0.9675925925925926,0.14835467782762338,1,0,
100,4.113195129976966,MOVING,1,VIEW_001,46.04100222907746,-0.007256000142772733,1.0000364164642703,207,0.9583333333333334,0.15740303386238522,1,0,MOVEMENT_STARTED
101,4.154327081276736,MOVING,1,VIEW_001,45.99862367524956,-0.00499257523157568,0.9999686265123302,218,0.9732142857142857,0.16844638291472402,1,0,
102,4.1954590325765055,MOVING,1,VIEW_001,46.003050497302446,0.00027253900673524195,0.999991434446746,225,0.982532751091703,0.18204104474495295,1,0,
103,4.236590983876275,MOVING,1,VIEW_001,44.96944085159935,-0.005253176090136098,1.0001317241514076,240,0.9836065573770492,0.1893176313371753,1,0,
104,4.277722935176045,MOVING,1,VIEW_001,45.98086326096321,-0.007247055685634977,0.9998742011862549,260,0.9923664122137404,0.19741847655874825,1,0,
105,4.3188548864758145,MOVING,1,VIEW_001,45.98390310840547,0.003904522912462769,0.9999135946608735,260,0.9961685823754789,0.205435290973475,1,0,
106,4.359986837775584,MOVING,1,VIEW_001,45.00646428453898,0.0015699967075127955,0.9999420534105178,269,0.9889705882352942,0.20900352424379082,1,0,
107,4.401118789075354,MOVING,1,VIEW_001,46.019560972712874,-0.003340006846100416,1.000057041507077,297,1.0,0.21292405623731278,1,0,
108,4.4422507403751235,MOVING,1,VIEW_001,46.028349705242896,-0.002425252294105119,1.0000290527472346,296,0.9966329966329966,0.22082472674968012,1,0,
109,4.483382691674893,MOVING,1,VIEW_001,45.976997587746915,0.00027782447950506876,1.0000013555283729,304,0.9967213114754099,0.2227584763499372,1,0,
110,4.524514642974663,MOVING,1,VIEW_001,44.96047038563054,-0.002266722968529994,1.0000530752364345,248,0.96875,0.2145431711145997,1,0,
111,4.565646594274432,MOVING,1,VIEW_001,45.9642705626178,-0.0014893867292639052,1.000094875613746,286,0.9862068965517241,0.21036607071811173,1,0,
112,4.606778545574202,MOVING,1,VIEW_001,46.02216556086728,-0.0027836293995306865,0.9998746568879424,290,0.9897610921501706,0.21220466005256078,1,0,
113,4.647910496873972,MOVING,1,VIEW_001,45.01672075099604,-0.0016272285543697394,0.9999572815285005,286,0.9862068965517241,0.20334845955762085,1,0,
114,4.689042448173741,MOVING,1,VIEW_001,45.93015759299452,0.0011362121078094772,1.000048177108473,300,1.0,0.19627356293869125,1,0,
115,4.730174399473511,MOVING,1,VIEW_001,46.03964370649659,-0.0035983641123619567,1.0000078043755747,307,0.9967532467532467,0.1998094454611084,1,0,
116,4.771306350773281,MOVING,1,VIEW_001,46.03089524965834,-0.002070588901020696,0.9999832809820282,287,0.9828767123287672,0.19850841535929048,1,0,
117,4.81243830207305,MOVING,1,VIEW_001,44.96564709564944,0.00322755571781824,1.0001391410666955,322,0.972809667673716,0.19692537551464076,1,0,
118,4.85357025337282,MOVING,1,VIEW_001,45.963851830233814,-0.0065141126629977815,1.0001068660275876,328,0.984984984984985,0.199609316051577,1,0,
119,4.89470220467259,MOVING,1,VIEW_001,46.043251651262615,0.00410640247594663,0.9998693944870282,311,1.0,0.19862990754388316,1,0,
120,4.935834155972359,MOVING,1,VIEW_001,45.01743606619206,0.005329681602042545,1.000033583784139,346,0.9885714285714285,0.20102747468995721,1,0,
121,4.976966107272129,MOVING,1,VIEW_001,45.94709960242308,0.003859468619536054,1.0000473081839982,391,1.0,0.21506334995039994,1,0,
122,5.018098058571899,MOVING,1,VIEW_001,46.00624199865333,0.0031700048373478375,1.0000105593068829,416,0.9952153110047847,0.2289933974769079,1,0,
123,5.059230009871668,MOVING,1,VIEW_001,46.025770900644986,-0.003882230134688598,0.9999635982004998,430,0.9907834101382489,0.23304521554498567,1,0,
124,5.100361961171438,MOVING,1,VIEW_001,44.963549253142325,0.005409121840693669,1.000078567192732,494,0.993963782696177,0.23046927243546877,1,0,
125,5.141493912471208,MOVING,1,VIEW_001,46.00109099814016,-0.0013259930212957908,1.0000747050692294,531,0.9962476547842402,0.2247025116590334,1,0,
126,5.182625863770977,MOVING,1,VIEW_001,0.000724148856180436,-9.619151896804904e-05,1.0000000107952458,523,1.0,0.002731502076689935,0,1,
127,5.223757815070747,MOVING,1,VIEW_001,0.002395163446329293,0.0002751512623363173,0.9999949879505016,526,1.0,0.00173784341116211,0,1,
128,5.2648897663705165,MOVING,1,VIEW_001,0.00037045376500575956,1.4633429861196884e-05,1.0000003472554202,525,1.0,0.0006735182598283776,0,1,
129,5.306021717670286,MOVING,1,VIEW_001,0.000202122789396331,-2.5757322564244887e-05,0.9999994471395128,525,1.0,0.00013719816403911394,0,1,
130,5.347153668970056,MOVING,1,VIEW_001,0.00010416251588882107,1.704360660781422e-05,1.000000092222765,525,1.0,0.0,0,1,
131,5.3882856202698255,MOVING,1,VIEW_001,0.00013401567628620295,-4.275437624381151e-05,1.0000004937571154,525,1.0,0.00015382824452870352,0,1,
132,5.429417571569595,MOVING,1,VIEW_001,0.013536353109675658,0.0007362658296079993,1.0000004084870409,522,1.0,0.03011003182394908,0,1,
133,5.470549522869365,MOVING,1,VIEW_001,0.0045478935308921,0.0007832475461918011,1.0000102765833705,514,1.0,0.016521435460804205,0,1,
134,5.5116814741691345,MOVING,1,VIEW_001,0.0026105939622475976,-0.0005029576936726705,1.0000014960266626,517,1.0,0.004431769049123624,0,1,
135,5.552813425468904,MOVING,1,VIEW_001,0.00020071325492724255,-3.3402797633919644e-05,0.9999997076011307,517,1.0,0.000469784148734493,0,1,
136,5.593945376768674,MOVING,1,VIEW_001,0.0010221942882637281,0.0001045007514484378,0.9999975783851168,517,1.0,0.002764658928393255,0,1,
137,5.635077328068443,NEW_STABLE_VIEW,2,VIEW_002,0.000448906535930088,2.0112151868536664e-05,0.9999999897482393,516,1.0,0.00021618385605481091,0,1,NEW_STABLE_VIEW
138,5.676209279368213,NEW_STABLE_VIEW,2,VIEW_002,0.00027438220724932875,2.0575132004815084e-05,1.0000004820975459,516,1.0,0.00021202647420760301,0,1,
139,5.717341230667983,NEW_STABLE_VIEW,2,VIEW_002,0.00033458387252606995,5.50262363833071e-07,0.9999994937667455,515,1.0,0.00019955432866597931,0,1,
140,5.758473181967752,NEW_STABLE_VIEW,2,VIEW_002,0.00044095888837723487,-5.1042718348270655e-05,0.9999999083761887,516,1.0,0.0015423886653141317,0,1,
