frame,timestamp_seconds,was_ocr_sampled,primary_min_temp,primary_max_temp,primary_min_text,primary_max_text,accepted_sample_min_temp,accepted_sample_max_temp,accepted_min_text,accepted_max_text,accepted_min_method,accepted_max_method,clean_min_temp_used,clean_max_temp_used,status,retry_attempted
86,3.484658909981629,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
87,3.5251781996325784,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
88,3.5656974892835276,1,29.2,74.8,29.20,748,29.2,74.8,29.20,748,green_difference/PSM7,gray_otsu/PSM7,29.2,74.8,ACCEPT_PRIMARY,0
89,3.606216778934477,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
90,3.646736068585426,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
91,3.687255358236375,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
92,3.727774647887324,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
93,3.768293937538273,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
94,3.8088132271892223,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
95,3.8493325168401715,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
96,3.8898518064911207,1,29.2,74.8,29.20,748,29.2,74.8,29.20,748,green_difference/PSM7,gray_otsu/PSM7,29.2,74.8,ACCEPT_PRIMARY,0
97,3.93037109614207,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
98,3.970890385793019,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
99,4.011409675443969,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
100,4.051928965094918,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
101,4.092448254745867,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
102,4.1329675443968155,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
103,4.173486834047765,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
104,4.214006123698714,1,2.2,74.8,2.20,748,29.2,74.8,29.20,748,hsv_green/PSM7,gray_otsu/PSM7,29.2,74.8,ACCEPT_RETRY,1
105,4.254525413349663,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
106,4.295044703000612,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
107,4.3355639926515614,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
108,4.376083282302511,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
109,4.41660257195346,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
110,4.457121861604409,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
111,4.497641151255358,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
112,4.538160440906307,1,2.2,74.8,2.20,748,29.2,74.8,29.20,748,hsv_green/PSM7,gray_otsu/PSM7,29.2,74.8,ACCEPT_RETRY,1
113,4.578679730557257,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
114,4.619199020208206,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
115,4.659718309859155,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
116,4.700237599510104,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
117,4.740756889161053,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
118,4.781276178812003,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
119,4.821795468462952,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
120,4.862314758113901,1,2.2,74.8,2.20,748,29.2,74.8,29.20,748,hsv_green/PSM7,gray_otsu/PSM7,29.2,74.8,ACCEPT_RETRY,1
121,4.90283404776485,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
122,4.943353337415799,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
123,4.983872627066749,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
124,5.024391916717698,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
125,5.064911206368647,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
126,5.105430496019596,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
127,5.145949785670545,0,,,,,,,,,,,29.2,74.8,UNSAMPLED,0
128,5.186469075321495,1,23.5,74.7,235,74.70,29.3,74.7,293,74.70,green_difference/PSM8,gray_otsu/PSM7,29.3,74.7,ACCEPT_RETRY,1
129,5.226988364972444,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
130,5.267507654623393,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
131,5.308026944274342,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
132,5.348546233925291,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
133,5.389065523576241,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
134,5.42958481322719,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
135,5.470104102878139,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
136,5.510623392529088,1,23.5,74.7,235,74.70,29.3,74.7,293,74.70,green_difference/PSM8,gray_otsu/PSM7,29.3,74.7,ACCEPT_RETRY,1
137,5.551142682180037,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
138,5.591661971830987,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
139,5.632181261481936,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
140,5.672700551132885,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
141,5.713219840783834,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
142,5.7537391304347825,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
143,5.794258420085732,0,,,,,,,,,,,29.3,74.7,UNSAMPLED,0
144,5.834777709736681,1,23.5,74.6,235,74.6,29.3,74.6,293,74.60,green_difference/PSM8,green_channel_otsu/PSM7,29.3,74.6,ACCEPT_RETRY,1
145,5.87529699938763,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
146,5.915816289038579,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
147,5.9563355786895285,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
148,5.996854868340478,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
149,6.037374157991427,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
150,6.077893447642376,0,,,,,,,,,,,29.3,74.6,UNSAMPLED,0
