frame,timestamp_seconds,status,method,matched_points,inlier_count,inlier_ratio,reason,camera_dx_pixels,camera_dy_pixels,camera_translation_pixels,camera_rotation_deg,camera_scale,H00,H01,H02,H10,H11,H12
57,2.3095623987034037,TRACKED,LK_OPTICAL_FLOW,331,331,1.0,LK_ACCEPTED,0.00024213115659676987,-0.01075764079075725,0.0107603653692595,0.0007432006691976972,1.0000193543502915,1.0000193542661626,-1.2971549731219669e-05,-0.005918255316499478,1.2971549731219666e-05,1.0000193542661617,-0.02834948037638157
58,2.3500810372771475,TRACKED,LK_OPTICAL_FLOW,331,331,1.0,LK_ACCEPTED,0.0004481218060163883,-0.010866988258101173,0.010876223929045234,0.000765748152652134,1.0000195188846812,1.0000195187953702,-1.3365087370953347e-05,-0.005628665292897606,1.3365087370953344e-05,1.0000195187953693,-0.028789665952764713
59,2.3905996758508916,TRACKED,LK_OPTICAL_FLOW,331,331,1.0,LK_ACCEPTED,0.0005811712868535324,-0.010872756605351697,0.010888277929217363,0.0007634732854678059,1.0000193274222626,1.0000193273334814,-1.3325380122308306e-05,-0.005392139682510889,1.3325380122308301e-05,1.0000193273334805,-0.028678119954242066
60,2.4311183144246353,TRACKED,LK_OPTICAL_FLOW,331,331,1.0,LK_ACCEPTED,-0.0032243906313169646,-0.013130836954758252,0.013520930961874244,0.0011581123863522718,1.000014546303588,1.000014546099305,-2.021316827120463e-05,-0.0028315734164606077,2.021316827120463e-05,1.0000145460993042,-0.03304939231432489
61,2.4716369529983795,TRACKED,LK_OPTICAL_FLOW,341,341,1.0,LK_ACCEPTED,-0.002815846535554556,-0.013226749726186426,0.013523161613726551,0.0013867179262872162,1.0000177900666924,1.0000177897737996,-2.420322417708947e-05,-0.002583754162277645,2.4203224177089474e-05,1.0000177897737987,-0.03725590462297525
62,2.512155591572123,TRACKED,LK_OPTICAL_FLOW,343,343,1.0,LK_ACCEPTED,-0.0028848527327909324,-0.012095973560860784,0.012435230262240199,0.0014901374270127033,1.0000156647599066,1.0000156644216982,-2.6008211811648095e-05,-0.0004261409500307418,2.6008211811648098e-05,1.0000156644216973,-0.036260151535017056
63,2.552674230145867,TRACKED,LK_OPTICAL_FLOW,342,342,1.0,LK_ACCEPTED,-0.002869531718374674,-0.012108824842016475,0.012444189460844511,0.0014913423996440148,1.0000157463677308,1.0000157460289754,-2.6029245005051875e-05,-0.00045295266017283524,2.6029245005051882e-05,1.0000157460289745,-0.036325635553008905
64,2.593192868719611,TRACKED,LK_OPTICAL_FLOW,342,342,1.0,LK_ACCEPTED,-0.0028830390893972435,-0.012301699030274449,0.012635019328139067,0.0014684870539285416,1.0000160666993156,1.0000160663708637,-2.5630345899603404e-05,-0.000862950410327299,2.5630345899603407e-05,1.0000160663708628,-0.03641697842017316
65,2.633711507293355,TRACKED,LK_OPTICAL_FLOW,342,342,1.0,LK_ACCEPTED,-0.0024994990311597576,-0.012534315980133215,0.012781102162825844,0.001437866833557689,1.000016550349505,1.0000165500346077,-2.5095925787641758e-05,-0.0010454768019987196,2.509592578764176e-05,1.0000165500346068,-0.03653972509545568
66,2.674230145867099,TRACKED,LK_OPTICAL_FLOW,343,343,1.0,LK_ACCEPTED,-0.0025068166792152624,-0.012529071037704398,0.012777392180372136,0.001437995262747912,1.0000165419727032,1.0000165416577493,-2.509816712672503e-05,-0.001046357418029198,2.5098167126725032e-05,1.0000165416577482,-0.036531893717977035
